M,N,K
1,256,2048
1,1024,2048
1,2048,128
1,2048,512
1,2048,1024
1,2048,2048
1,2048,4096
1,2560,2048
1,3072,2048
1,4608,2048
1,6144,2048
1,9216,2048
1,12288,2048
2,256,2048
2,1024,2048
2,2048,128
2,2048,512
2,2048,1024
2,2048,2048
2,2048,4096
2,2560,2048
2,3072,2048
2,4608,2048
2,6144,2048
2,9216,2048
2,12288,2048
4,256,2048
4,1024,2048
4,2048,128
4,2048,512
4,2048,1024
4,2048,2048
4,2048,4096
4,2560,2048
4,3072,2048
4,4608,2048
4,6144,2048
4,9216,2048
4,12288,2048
8,256,2048
8,1024,2048
8,2048,128
8,2048,512
8,2048,1024
8,2048,2048
8,2048,4096
8,2560,2048
8,3072,2048
8,4608,2048
8,6144,2048
8,9216,2048
8,12288,2048
16,256,2048
16,1024,2048
16,2048,128
16,2048,512
16,2048,1024
16,2048,2048
16,2048,4096
16,2560,2048
16,3072,2048
16,4608,2048
16,6144,2048
16,9216,2048
16,12288,2048
24,2048,2048
24,4608,2048
24,6144,2048
32,256,2048
32,1024,2048
32,2048,128
32,2048,512
32,2048,1024
32,2048,2048
32,2048,4096
32,2560,2048
32,3072,2048
32,4608,2048
32,6144,2048
32,9216,2048
32,12288,2048
40,2048,2048
40,4608,2048
40,6144,2048
48,256,2048
48,1024,2048
48,2048,128
48,2048,512
48,2048,1024
48,2048,2048
48,2048,4096
48,2560,2048
48,3072,2048
48,4608,2048
48,6144,2048
48,9216,2048
48,12288,2048
56,2048,2048
56,4608,2048
56,6144,2048
64,256,2048
64,1024,2048
64,2048,128
64,2048,512
64,2048,1024
64,2048,2048
64,2048,4096
64,2560,2048
64,3072,2048
64,4608,2048
64,6144,2048
64,9216,2048
64,12288,2048
72,2048,2048
72,4608,2048
72,6144,2048
80,256,2048
80,1024,2048
80,2048,128
80,2048,512
80,2048,1024
80,2048,2048
80,2048,4096
80,2560,2048
80,3072,2048
80,4608,2048
80,6144,2048
80,9216,2048
80,12288,2048
88,2048,2048
88,4608,2048
88,6144,2048
96,256,2048
96,1024,2048
96,2048,128
96,2048,512
96,2048,1024
96,2048,2048
96,2048,4096
96,2560,2048
96,3072,2048
96,4608,2048
96,6144,2048
96,9216,2048
96,12288,2048
104,2048,2048
104,4608,2048
104,6144,2048
112,256,2048
112,1024,2048
112,2048,128
112,2048,512
112,2048,1024
112,2048,2048
112,2048,4096
112,2560,2048
112,3072,2048
112,4608,2048
112,6144,2048
112,9216,2048
112,12288,2048
120,2048,2048
120,4608,2048
120,6144,2048
128,256,2048
128,1024,2048
128,2048,128
128,2048,512
128,2048,1024
128,2048,2048
128,2048,4096
128,2560,2048
128,3072,2048
128,4608,2048
128,6144,2048
128,9216,2048
128,12288,2048
136,2048,2048
136,4608,2048
136,6144,2048
144,2048,2048
144,4608,2048
144,6144,2048
152,2048,2048
152,4608,2048
152,6144,2048
160,2048,2048
160,4608,2048
160,6144,2048
168,2048,2048
168,4608,2048
168,6144,2048
176,2048,2048
176,4608,2048
176,6144,2048
184,2048,2048
184,4608,2048
184,6144,2048
192,2048,2048
192,4608,2048
192,6144,2048
200,2048,2048
200,4608,2048
200,6144,2048
208,2048,2048
208,4608,2048
208,6144,2048
216,2048,2048
216,4608,2048
216,6144,2048
224,2048,2048
224,4608,2048
224,6144,2048
232,2048,2048
232,4608,2048
232,6144,2048
240,2048,2048
240,4608,2048
240,6144,2048
248,2048,2048
248,4608,2048
248,6144,2048
256,256,2048
256,1024,2048
256,2048,128
256,2048,512
256,2048,1024
256,2048,2048
256,2048,4096
256,2560,2048
256,3072,2048
256,4608,2048
256,6144,2048
256,9216,2048
256,12288,2048
272,2048,2048
272,4608,2048
272,6144,2048
288,2048,2048
288,4608,2048
288,6144,2048
304,2048,2048
304,4608,2048
304,6144,2048
320,2048,2048
320,4608,2048
320,6144,2048
336,2048,2048
336,4608,2048
336,6144,2048
352,2048,2048
352,4608,2048
352,6144,2048
368,2048,2048
368,4608,2048
368,6144,2048
384,2048,2048
384,4608,2048
384,6144,2048
400,2048,2048
400,4608,2048
400,6144,2048
416,2048,2048
416,4608,2048
416,6144,2048
432,2048,2048
432,4608,2048
432,6144,2048
448,2048,2048
448,4608,2048
448,6144,2048
464,2048,2048
464,4608,2048
464,6144,2048
480,2048,2048
480,4608,2048
480,6144,2048
496,2048,2048
496,4608,2048
496,6144,2048
512,256,2048
512,1024,2048
512,2048,128
512,2048,512
512,2048,1024
512,2048,2048
512,2048,4096
512,2560,2048
512,3072,2048
512,4608,2048
512,6144,2048
512,9216,2048
512,12288,2048
588,256,2048
588,2048,128
588,2048,1024
588,2560,2048
588,3072,2048
664,2048,2048
664,4608,2048
664,6144,2048
667,1024,2048
667,2048,512
667,2048,4096
667,9216,2048
667,12288,2048
671,1024,2048
671,2048,512
671,2048,4096
671,9216,2048
671,12288,2048
762,2048,2048
762,4608,2048
762,6144,2048
773,256,2048
773,2048,128
773,2048,1024
773,2560,2048
773,3072,2048
822,256,2048
822,2048,128
822,2048,1024
822,2560,2048
822,3072,2048
902,2048,2048
902,4608,2048
902,6144,2048
931,1024,2048
931,2048,512
931,2048,4096
931,9216,2048
931,12288,2048
961,2048,2048
961,4608,2048
961,6144,2048
1000,2048,2048
1000,4608,2048
1000,6144,2048
1001,2048,2048
1001,4608,2048
1001,6144,2048
1002,2048,2048
1002,4608,2048
1002,6144,2048
1003,2048,2048
1003,4608,2048
1003,6144,2048
1015,2048,2048
1015,4608,2048
1015,6144,2048
1023,2048,2048
1023,4608,2048
1023,6144,2048
1024,256,2048
1024,1024,2048
1024,2048,128
1024,2048,512
1024,2048,1024
1024,2048,2048
1024,2048,4096
1024,2560,2048
1024,3072,2048
1024,4608,2048
1024,6144,2048
1024,9216,2048
1024,12288,2048
1025,256,2048
1025,1024,2048
1025,2048,128
1025,2048,512
1025,2048,1024
1025,2048,2048
1025,2048,4096
1025,2560,2048
1025,3072,2048
1025,4608,2048
1025,6144,2048
1025,9216,2048
1025,12288,2048
1027,256,2048
1027,1024,2048
1027,2048,128
1027,2048,512
1027,2048,1024
1027,2048,4096
1027,2560,2048
1027,3072,2048
1027,9216,2048
1027,12288,2048
1031,1024,2048
1031,2048,512
1031,2048,4096
1031,9216,2048
1031,12288,2048
1032,2048,2048
1032,4608,2048
1032,6144,2048
1038,2048,2048
1038,4608,2048
1038,6144,2048
1039,1024,2048
1039,2048,512
1039,2048,4096
1039,9216,2048
1039,12288,2048
1040,1024,2048
1040,2048,512
1040,2048,4096
1040,9216,2048
1040,12288,2048
1041,1024,2048
1041,2048,512
1041,2048,4096
1041,9216,2048
1041,12288,2048
1042,256,2048
1042,2048,128
1042,2048,1024
1042,2560,2048
1042,3072,2048
1051,256,2048
1051,2048,128
1051,2048,1024
1051,2560,2048
1051,3072,2048
1055,256,2048
1055,2048,128
1055,2048,1024
1055,2560,2048
1055,3072,2048
1057,256,2048
1057,2048,128
1057,2048,1024
1057,2560,2048
1057,3072,2048
1069,256,2048
1069,2048,128
1069,2048,1024
1069,2560,2048
1069,3072,2048
1072,256,2048
1072,1024,2048
1072,2048,128
1072,2048,512
1072,2048,1024
1072,2048,4096
1072,2560,2048
1072,3072,2048
1072,9216,2048
1072,12288,2048
1073,1024,2048
1073,2048,512
1073,2048,4096
1073,9216,2048
1073,12288,2048
1074,256,2048
1074,2048,128
1074,2048,1024
1074,2560,2048
1074,3072,2048
1077,1024,2048
1077,2048,512
1077,2048,4096
1077,9216,2048
1077,12288,2048
1087,2048,2048
1087,4608,2048
1087,6144,2048
1091,256,2048
1091,1024,2048
1091,2048,128
1091,2048,512
1091,2048,1024
1091,2048,4096
1091,2560,2048
1091,3072,2048
1091,9216,2048
1091,12288,2048
1128,256,2048
1128,2048,128
1128,2048,1024
1128,2560,2048
1128,3072,2048
1136,256,2048
1136,2048,128
1136,2048,1024
1136,2560,2048
1136,3072,2048
1255,2048,2048
1255,4608,2048
1255,6144,2048
1343,1024,2048
1343,2048,512
1343,2048,4096
1343,9216,2048
1343,12288,2048
1351,2048,2048
1351,4608,2048
1351,6144,2048
1376,2048,2048
1376,4608,2048
1376,6144,2048
1380,2048,2048
1380,4608,2048
1380,6144,2048
1391,2048,2048
1391,4608,2048
1391,6144,2048
1514,256,2048
1514,2048,128
1514,2048,1024
1514,2560,2048
1514,3072,2048
1688,1024,2048
1688,2048,512
1688,2048,4096
1688,9216,2048
1688,12288,2048
1710,2048,2048
1710,4608,2048
1710,6144,2048
1808,2048,2048
1808,4608,2048
1808,6144,2048
1809,2048,2048
1809,4608,2048
1809,6144,2048
1870,2048,2048
1870,4608,2048
1870,6144,2048
1967,2048,2048
1967,4608,2048
1967,6144,2048
1970,2048,2048
1970,4608,2048
1970,6144,2048
2000,2048,2048
2000,4608,2048
2000,6144,2048
2001,2048,2048
2001,4608,2048
2001,6144,2048
2016,2048,2048
2016,4608,2048
2016,6144,2048
2017,256,2048
2017,1024,2048
2017,2048,128
2017,2048,512
2017,2048,1024
2017,2048,2048
2017,2048,4096
2017,2560,2048
2017,3072,2048
2017,4608,2048
2017,6144,2048
2017,9216,2048
2017,12288,2048
2046,2048,2048
2046,4608,2048
2046,6144,2048
2048,256,2048
2048,1024,2048
2048,2048,128
2048,2048,512
2048,2048,1024
2048,2048,2048
2048,2048,4096
2048,2560,2048
2048,3072,2048
2048,4608,2048
2048,6144,2048
2048,9216,2048
2048,12288,2048
2050,1024,2048
2050,2048,512
2050,2048,2048
2050,2048,4096
2050,4608,2048
2050,6144,2048
2050,9216,2048
2050,12288,2048
2063,1024,2048
2063,2048,512
2063,2048,4096
2063,9216,2048
2063,12288,2048
2064,1024,2048
2064,2048,512
2064,2048,4096
2064,9216,2048
2064,12288,2048
2081,2048,2048
2081,4608,2048
2081,6144,2048
2095,2048,2048
2095,4608,2048
2095,6144,2048
2099,1024,2048
2099,2048,512
2099,2048,4096
2099,9216,2048
2099,12288,2048
2151,256,2048
2151,2048,128
2151,2048,1024
2151,2560,2048
2151,3072,2048
2154,2048,2048
2154,4608,2048
2154,6144,2048
2159,1024,2048
2159,2048,512
2159,2048,2048
2159,2048,4096
2159,4608,2048
2159,6144,2048
2159,9216,2048
2159,12288,2048
2160,1024,2048
2160,2048,512
2160,2048,4096
2160,9216,2048
2160,12288,2048
2162,2048,2048
2162,4608,2048
2162,6144,2048
2165,2048,2048
2165,4608,2048
2165,6144,2048
2251,2048,2048
2251,4608,2048
2251,6144,2048
2252,2048,2048
2252,4608,2048
2252,6144,2048
2255,2048,2048
2255,4608,2048
2255,6144,2048
2313,1024,2048
2313,2048,512
2313,2048,4096
2313,9216,2048
2313,12288,2048
2317,2048,2048
2317,4608,2048
2317,6144,2048
2325,1024,2048
2325,2048,512
2325,2048,4096
2325,9216,2048
2325,12288,2048
2332,256,2048
2332,2048,128
2332,2048,1024
2332,2560,2048
2332,3072,2048
2341,256,2048
2341,2048,128
2341,2048,1024
2341,2560,2048
2341,3072,2048
2694,2048,2048
2694,4608,2048
2694,6144,2048
2715,2048,2048
2715,4608,2048
2715,6144,2048
2819,2048,2048
2819,4608,2048
2819,6144,2048
2853,2048,2048
2853,4608,2048
2853,6144,2048
2914,2048,2048
2914,4608,2048
2914,6144,2048
2974,2048,2048
2974,4608,2048
2974,6144,2048
3000,2048,2048
3000,4608,2048
3000,6144,2048
3001,2048,2048
3001,4608,2048
3001,6144,2048
3072,256,2048
3072,1024,2048
3072,2048,128
3072,2048,512
3072,2048,1024
3072,2048,2048
3072,2048,4096
3072,2560,2048
3072,3072,2048
3072,4608,2048
3072,6144,2048
3072,9216,2048
3072,12288,2048
3073,256,2048
3073,1024,2048
3073,2048,128
3073,2048,512
3073,2048,1024
3073,2048,2048
3073,2048,4096
3073,2560,2048
3073,3072,2048
3073,4608,2048
3073,6144,2048
3073,9216,2048
3073,12288,2048
3077,2048,2048
3077,4608,2048
3077,6144,2048
3078,2048,2048
3078,4608,2048
3078,6144,2048
3086,2048,2048
3086,4608,2048
3086,6144,2048
3089,256,2048
3089,2048,128
3089,2048,1024
3089,2048,2048
3089,2560,2048
3089,3072,2048
3089,4608,2048
3089,6144,2048
3110,256,2048
3110,2048,128
3110,2048,1024
3110,2560,2048
3110,3072,2048
3118,2048,2048
3118,4608,2048
3118,6144,2048
3137,256,2048
3137,2048,128
3137,2048,1024
3137,2560,2048
3137,3072,2048
3138,2048,2048
3138,4608,2048
3138,6144,2048
3154,2048,2048
3154,4608,2048
3154,6144,2048
3182,1024,2048
3182,2048,512
3182,2048,4096
3182,9216,2048
3182,12288,2048
3183,1024,2048
3183,2048,512
3183,2048,4096
3183,9216,2048
3183,12288,2048
3289,2048,2048
3289,4608,2048
3289,6144,2048
3437,2048,2048
3437,4608,2048
3437,6144,2048
3613,256,2048
3613,2048,128
3613,2048,1024
3613,2560,2048
3613,3072,2048
3617,2048,2048
3617,4608,2048
3617,6144,2048
3620,2048,2048
3620,4608,2048
3620,6144,2048
3669,2048,2048
3669,4608,2048
3669,6144,2048
3824,2048,2048
3824,4608,2048
3824,6144,2048
3847,1024,2048
3847,2048,512
3847,2048,4096
3847,9216,2048
3847,12288,2048
3858,2048,2048
3858,4608,2048
3858,6144,2048
3906,2048,2048
3906,4608,2048
3906,6144,2048
4000,2048,2048
4000,4608,2048
4000,6144,2048
4004,2048,2048
4004,4608,2048
4004,6144,2048
4096,256,2048
4096,1024,2048
4096,2048,128
4096,2048,512
4096,2048,1024
4096,2048,4096
4096,2560,2048
4096,3072,2048
4096,9216,2048
4096,12288,2048
4097,256,2048
4097,2048,128
4097,2048,1024
4097,2560,2048
4097,3072,2048
4100,2048,2048
4100,4608,2048
4100,6144,2048
4108,2048,2048
4108,4608,2048
4108,6144,2048
4109,256,2048
4109,2048,128
4109,2048,1024
4109,2560,2048
4109,3072,2048
4111,1024,2048
4111,2048,512
4111,2048,4096
4111,9216,2048
4111,12288,2048
4121,2048,2048
4121,4608,2048
4121,6144,2048
4123,2048,2048
4123,4608,2048
4123,6144,2048
4141,1024,2048
4141,2048,512
4141,2048,4096
4141,9216,2048
4141,12288,2048
4142,1024,2048
4142,2048,512
4142,2048,4096
4142,9216,2048
4142,12288,2048
4143,256,2048
4143,2048,128
4143,2048,1024
4143,2560,2048
4143,3072,2048
4149,2048,2048
4149,4608,2048
4149,6144,2048
4204,2048,2048
4204,4608,2048
4204,6144,2048
4223,2048,2048
4223,4608,2048
4223,6144,2048
4229,2048,2048
4229,4608,2048
4229,6144,2048
4345,256,2048
4345,1024,2048
4345,2048,128
4345,2048,512
4345,2048,1024
4345,2048,4096
4345,2560,2048
4345,3072,2048
4345,9216,2048
4345,12288,2048
4379,2048,2048
4379,4608,2048
4379,6144,2048
4410,2048,2048
4410,4608,2048
4410,6144,2048
4413,256,2048
4413,2048,128
4413,2048,1024
4413,2560,2048
4413,3072,2048
4498,2048,2048
4498,4608,2048
4498,6144,2048
4585,2048,2048
4585,4608,2048
4585,6144,2048
4586,2048,2048
4586,4608,2048
4586,6144,2048
4723,2048,2048
4723,4608,2048
4723,6144,2048
4743,2048,2048
4743,4608,2048
4743,6144,2048
4822,2048,2048
4822,4608,2048
4822,6144,2048
4898,2048,2048
4898,4608,2048
4898,6144,2048
4936,2048,2048
4936,4608,2048
4936,6144,2048
4992,2048,2048
4992,4608,2048
4992,6144,2048
5000,2048,2048
5000,4608,2048
5000,6144,2048
5001,2048,2048
5001,4608,2048
5001,6144,2048
5002,2048,2048
5002,4608,2048
5002,6144,2048
5003,2048,2048
5003,4608,2048
5003,6144,2048
5004,2048,2048
5004,4608,2048
5004,6144,2048
5005,2048,2048
5005,4608,2048
5005,6144,2048
5006,2048,2048
5006,4608,2048
5006,6144,2048
5010,2048,2048
5010,4608,2048
5010,6144,2048
5011,2048,2048
5011,4608,2048
5011,6144,2048
5012,2048,2048
5012,4608,2048
5012,6144,2048
5026,2048,2048
5026,4608,2048
5026,6144,2048
5028,2048,2048
5028,4608,2048
5028,6144,2048
5030,2048,2048
5030,4608,2048
5030,6144,2048
5031,2048,2048
5031,4608,2048
5031,6144,2048
5060,2048,2048
5060,4608,2048
5060,6144,2048
5062,2048,2048
5062,4608,2048
5062,6144,2048
5063,2048,2048
5063,4608,2048
5063,6144,2048
5091,2048,2048
5091,4608,2048
5091,6144,2048
5105,1024,2048
5105,2048,512
5105,2048,2048
5105,2048,4096
5105,4608,2048
5105,6144,2048
5105,9216,2048
5105,12288,2048
5120,2048,2048
5120,4608,2048
5120,6144,2048
5121,256,2048
5121,1024,2048
5121,2048,128
5121,2048,512
5121,2048,1024
5121,2048,4096
5121,2560,2048
5121,3072,2048
5121,9216,2048
5121,12288,2048
5122,2048,2048
5122,4608,2048
5122,6144,2048
5123,256,2048
5123,1024,2048
5123,2048,128
5123,2048,512
5123,2048,1024
5123,2048,2048
5123,2048,4096
5123,2560,2048
5123,3072,2048
5123,4608,2048
5123,6144,2048
5123,9216,2048
5123,12288,2048
5124,2048,2048
5124,4608,2048
5124,6144,2048
5127,2048,2048
5127,4608,2048
5127,6144,2048
5131,1024,2048
5131,2048,512
5131,2048,4096
5131,9216,2048
5131,12288,2048
5133,256,2048
5133,2048,128
5133,2048,1024
5133,2560,2048
5133,3072,2048
5177,2048,2048
5177,4608,2048
5177,6144,2048
5183,2048,2048
5183,4608,2048
5183,6144,2048
5185,256,2048
5185,2048,128
5185,2048,1024
5185,2560,2048
5185,3072,2048
5191,256,2048
5191,2048,128
5191,2048,1024
5191,2560,2048
5191,3072,2048
5252,2048,2048
5252,4608,2048
5252,6144,2048
5255,2048,2048
5255,4608,2048
5255,6144,2048
5361,2048,2048
5361,4608,2048
5361,6144,2048
5427,1024,2048
5427,2048,512
5427,2048,2048
5427,2048,4096
5427,4608,2048
5427,6144,2048
5427,9216,2048
5427,12288,2048
5471,2048,2048
5471,4608,2048
5471,6144,2048
5534,2048,2048
5534,4608,2048
5534,6144,2048
5564,2048,2048
5564,4608,2048
5564,6144,2048
5671,2048,2048
5671,4608,2048
5671,6144,2048
5927,2048,2048
5927,4608,2048
5927,6144,2048
5954,2048,2048
5954,4608,2048
5954,6144,2048
6000,2048,2048
6000,4608,2048
6000,6144,2048
6002,2048,2048
6002,4608,2048
6002,6144,2048
6113,1024,2048
6113,2048,512
6113,2048,4096
6113,9216,2048
6113,12288,2048
6146,256,2048
6146,2048,128
6146,2048,1024
6146,2048,2048
6146,2560,2048
6146,3072,2048
6146,4608,2048
6146,6144,2048
6147,256,2048
6147,2048,128
6147,2048,1024
6147,2560,2048
6147,3072,2048
6155,256,2048
6155,2048,128
6155,2048,1024
6155,2560,2048
6155,3072,2048
6194,2048,2048
6194,4608,2048
6194,6144,2048
6197,1024,2048
6197,2048,512
6197,2048,4096
6197,9216,2048
6197,12288,2048
6227,2048,2048
6227,4608,2048
6227,6144,2048
6229,2048,2048
6229,4608,2048
6229,6144,2048
6234,2048,2048
6234,4608,2048
6234,6144,2048
6246,2048,2048
6246,4608,2048
6246,6144,2048
6304,2048,2048
6304,4608,2048
6304,6144,2048
6314,2048,2048
6314,4608,2048
6314,6144,2048
6318,2048,2048
6318,4608,2048
6318,6144,2048
6341,2048,2048
6341,4608,2048
6341,6144,2048
6377,256,2048
6377,2048,128
6377,2048,1024
6377,2048,2048
6377,2560,2048
6377,3072,2048
6377,4608,2048
6377,6144,2048
6401,256,2048
6401,2048,128
6401,2048,1024
6401,2560,2048
6401,3072,2048
6409,1024,2048
6409,2048,512
6409,2048,4096
6409,9216,2048
6409,12288,2048
6476,2048,2048
6476,4608,2048
6476,6144,2048
6483,2048,2048
6483,4608,2048
6483,6144,2048
6492,2048,2048
6492,4608,2048
6492,6144,2048
6519,2048,2048
6519,4608,2048
6519,6144,2048
6609,2048,2048
6609,4608,2048
6609,6144,2048
6811,2048,2048
6811,4608,2048
6811,6144,2048
6813,2048,2048
6813,4608,2048
6813,6144,2048
6818,2048,2048
6818,4608,2048
6818,6144,2048
6830,2048,2048
6830,4608,2048
6830,6144,2048
7001,2048,2048
7001,4608,2048
7001,6144,2048
7025,2048,2048
7025,4608,2048
7025,6144,2048
7121,256,2048
7121,1024,2048
7121,2048,128
7121,2048,512
7121,2048,1024
7121,2048,2048
7121,2048,4096
7121,2560,2048
7121,3072,2048
7121,4608,2048
7121,6144,2048
7121,9216,2048
7121,12288,2048
7168,1024,2048
7168,2048,512
7168,2048,4096
7168,9216,2048
7168,12288,2048
7169,256,2048
7169,1024,2048
7169,2048,128
7169,2048,512
7169,2048,1024
7169,2048,2048
7169,2048,4096
7169,2560,2048
7169,3072,2048
7169,4608,2048
7169,6144,2048
7169,9216,2048
7169,12288,2048
7170,256,2048
7170,2048,128
7170,2048,1024
7170,2560,2048
7170,3072,2048
7172,1024,2048
7172,2048,512
7172,2048,4096
7172,9216,2048
7172,12288,2048
7176,256,2048
7176,1024,2048
7176,2048,128
7176,2048,512
7176,2048,1024
7176,2048,4096
7176,2560,2048
7176,3072,2048
7176,9216,2048
7176,12288,2048
7177,256,2048
7177,1024,2048
7177,2048,128
7177,2048,512
7177,2048,1024
7177,2048,2048
7177,2048,4096
7177,2560,2048
7177,3072,2048
7177,4608,2048
7177,6144,2048
7177,9216,2048
7177,12288,2048
7178,1024,2048
7178,2048,512
7178,2048,4096
7178,9216,2048
7178,12288,2048
7179,1024,2048
7179,2048,512
7179,2048,4096
7179,9216,2048
7179,12288,2048
7183,1024,2048
7183,2048,512
7183,2048,4096
7183,9216,2048
7183,12288,2048
7184,1024,2048
7184,2048,512
7184,2048,4096
7184,9216,2048
7184,12288,2048
7185,256,2048
7185,2048,128
7185,2048,1024
7185,2560,2048
7185,3072,2048
7206,256,2048
7206,2048,128
7206,2048,1024
7206,2560,2048
7206,3072,2048
7209,1024,2048
7209,2048,512
7209,2048,4096
7209,9216,2048
7209,12288,2048
7210,1024,2048
7210,2048,512
7210,2048,4096
7210,9216,2048
7210,12288,2048
7211,1024,2048
7211,2048,512
7211,2048,4096
7211,9216,2048
7211,12288,2048
7217,256,2048
7217,1024,2048
7217,2048,128
7217,2048,512
7217,2048,1024
7217,2048,2048
7217,2048,4096
7217,2560,2048
7217,3072,2048
7217,4608,2048
7217,6144,2048
7217,9216,2048
7217,12288,2048
7223,2048,2048
7223,4608,2048
7223,6144,2048
7238,2048,2048
7238,4608,2048
7238,6144,2048
7246,2048,2048
7246,4608,2048
7246,6144,2048
7249,2048,2048
7249,4608,2048
7249,6144,2048
7257,256,2048
7257,2048,128
7257,2048,1024
7257,2560,2048
7257,3072,2048
7265,256,2048
7265,2048,128
7265,2048,1024
7265,2560,2048
7265,3072,2048
7273,1024,2048
7273,2048,512
7273,2048,4096
7273,9216,2048
7273,12288,2048
7274,1024,2048
7274,2048,512
7274,2048,4096
7274,9216,2048
7274,12288,2048
7316,2048,2048
7316,4608,2048
7316,6144,2048
7391,1024,2048
7391,2048,512
7391,2048,4096
7391,9216,2048
7391,12288,2048
7393,256,2048
7393,1024,2048
7393,2048,128
7393,2048,512
7393,2048,1024
7393,2048,2048
7393,2048,4096
7393,2560,2048
7393,3072,2048
7393,4608,2048
7393,6144,2048
7393,9216,2048
7393,12288,2048
7461,256,2048
7461,2048,128
7461,2048,1024
7461,2560,2048
7461,3072,2048
7491,2048,2048
7491,4608,2048
7491,6144,2048
7558,2048,2048
7558,4608,2048
7558,6144,2048
7634,256,2048
7634,2048,128
7634,2048,1024
7634,2560,2048
7634,3072,2048
7650,2048,2048
7650,4608,2048
7650,6144,2048
7715,1024,2048
7715,2048,512
7715,2048,4096
7715,9216,2048
7715,12288,2048
7753,1024,2048
7753,2048,512
7753,2048,2048
7753,2048,4096
7753,4608,2048
7753,6144,2048
7753,9216,2048
7753,12288,2048
7774,2048,2048
7774,4608,2048
7774,6144,2048
7815,2048,2048
7815,4608,2048
7815,6144,2048
7819,1024,2048
7819,2048,512
7819,2048,4096
7819,9216,2048
7819,12288,2048
7834,2048,2048
7834,4608,2048
7834,6144,2048
7836,2048,2048
7836,4608,2048
7836,6144,2048
7871,2048,2048
7871,4608,2048
7871,6144,2048
7899,2048,2048
7899,4608,2048
7899,6144,2048
7913,2048,2048
7913,4608,2048
7913,6144,2048
7930,2048,2048
7930,4608,2048
7930,6144,2048
7961,2048,2048
7961,4608,2048
7961,6144,2048
7963,2048,2048
7963,4608,2048
7963,6144,2048
7974,2048,2048
7974,4608,2048
7974,6144,2048
8016,2048,2048
8016,4608,2048
8016,6144,2048
8017,2048,2048
8017,4608,2048
8017,6144,2048
8099,1024,2048
8099,2048,512
8099,2048,4096
8099,9216,2048
8099,12288,2048
8103,2048,2048
8103,4608,2048
8103,6144,2048
8128,2048,2048
8128,4608,2048
8128,6144,2048
8129,256,2048
8129,1024,2048
8129,2048,128
8129,2048,512
8129,2048,1024
8129,2048,2048
8129,2048,4096
8129,2560,2048
8129,3072,2048
8129,4608,2048
8129,6144,2048
8129,9216,2048
8129,12288,2048
8150,2048,2048
8150,4608,2048
8150,6144,2048
8184,2048,2048
8184,4608,2048
8184,6144,2048
8185,2048,2048
8185,4608,2048
8185,6144,2048
8188,1024,2048
8188,2048,512
8188,2048,4096
8188,9216,2048
8188,12288,2048
8192,256,2048
8192,1024,2048
8192,2048,128
8192,2048,512
8192,2048,1024
8192,2048,2048
8192,2048,4096
8192,2560,2048
8192,3072,2048
8192,4608,2048
8192,6144,2048
8192,9216,2048
8192,12288,2048
